,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
3,"frozenset({'Organic Food', 'Snacks', 'Protein Bar'})",frozenset({'Home Decor'}),0.013333333333333334,0.23166666666666666,0.01,0.75,3.2374100719424463,1.0,0.006911111111111111,3.0733333333333333,0.7004504504504504,0.04255319148936171,0.6746203904555315,0.3965827338129496
5,"frozenset({'Snacks', 'Home Decor', 'Protein Bar'})",frozenset({'Organic Food'}),0.018333333333333333,0.21833333333333332,0.01,0.5454545454545454,2.498265093684941,1.0,0.005997222222222222,1.7196666666666667,0.61092246745897,0.04411764705882353,0.41849195580538856,0.2956280360860513
2,"frozenset({'Organic Food', 'Snacks', 'Home Decor'})",frozenset({'Protein Bar'}),0.018333333333333333,0.24166666666666667,0.01,0.5454545454545454,2.25705329153605,1.0,0.005569444444444445,1.6683333333333332,0.5673457838143747,0.04,0.4005994005994005,0.2934169278996865
4,"frozenset({'Organic Food', 'Home Decor', 'Protein Bar'})",frozenset({'Snacks'}),0.023333333333333334,0.21,0.01,0.42857142857142855,2.0408163265306123,1.0,0.0051,1.3825,0.5221843003412969,0.04477611940298508,0.2766726943942133,0.23809523809523808
0,"frozenset({'Travel Accessories', 'Home Decor'})",frozenset({'Electronics'}),0.03666666666666667,0.21833333333333332,0.015,0.40909090909090906,1.8736988202637057,1.0,0.006994444444444444,1.3228205128205128,0.4840445982314494,0.0625,0.2440395425470052,0.23889659958362247
11,"frozenset({'Organic Food', 'Books'})",frozenset({'Fitness Bands'}),0.035,0.23166666666666666,0.015,0.4285714285714285,1.8499486125385403,1.0,0.006891666666666666,1.344583333333333,0.4761082325849165,0.059602649006622516,0.2562751781840718,0.2466598150051387
8,"frozenset({'Books', 'Electronics'})",frozenset({'Fitness Bands'}),0.035,0.23166666666666666,0.015,0.4285714285714285,1.8499486125385403,1.0,0.006891666666666666,1.344583333333333,0.4761082325849165,0.059602649006622516,0.2562751781840718,0.2466598150051387
10,"frozenset({'Organic Food', 'Protein Bar'})",frozenset({'Home Decor'}),0.056666666666666664,0.23166666666666666,0.023333333333333334,0.411764705882353,1.7774016081252646,1.0,0.010205555555555558,1.306166666666667,0.4636547198384655,0.0880503144654088,0.2344009187188976,0.2562420651713923
1,"frozenset({'Organic Food', 'Snacks'})",frozenset({'Home Decor'}),0.045,0.23166666666666666,0.018333333333333333,0.40740740740740744,1.7585931254996006,1.0,0.007908333333333335,1.2965625,0.4516896715849596,0.07096774193548386,0.22872981441311166,0.24327204902744473
6,"frozenset({'Snacks', 'Protein Bar'})",frozenset({'Home Decor'}),0.045,0.23166666666666666,0.018333333333333333,0.40740740740740744,1.7585931254996006,1.0,0.007908333333333335,1.2965625,0.4516896715849596,0.07096774193548386,0.22872981441311166,0.24327204902744473
9,"frozenset({'Organic Food', 'Home Decor'})",frozenset({'Protein Bar'}),0.055,0.24166666666666667,0.023333333333333334,0.42424242424242425,1.755485893416928,1.0,0.010041666666666667,1.3171052631578948,0.45540438397581257,0.08536585365853658,0.2407592407592408,0.26039707419017766
7,"frozenset({'Books', 'Groceries'})",frozenset({'Protein Bar'}),0.028333333333333332,0.24166666666666667,0.011666666666666667,0.411764705882353,1.7038539553752536,1.0,0.004819444444444446,1.2891666666666668,0.42514089683901013,0.04516129032258064,0.2243051066580479,0.23002028397565924
